datetime,humidity,temperature,PC0_1,PC0_3,PC0_5,PC10,PC1_0,PC2_5,PC5_0,PM0_1,PM0_3,PM0_5,PM10,PM1_0,PM2_5,PM5_0
05-04-2026-00-00-00,62.2,30.0,1526581.0,610632.0,346307.0,0.0,40516.0,2160.0,18.0,1.396983,16.48432,56.09595,101.657,93.17284,100.9799,101.5523
05-04-2026-00-00-01,62.2,30.0,1517430.0,606972.0,342528.0,0.0,39762.0,2125.0,18.0,1.388608,16.3855,55.56481,100.3074,91.9515,99.63352,100.2026
05-04-2026-00-00-02,62.2,30.0,1509999.0,603999.0,339456.0,0.0,39219.0,2101.0,18.0,1.381808,16.30526,55.13317,99.29635,91.02357,98.61703,99.19162
05-04-2026-00-00-03,62.2,30.0,1517187.0,606874.0,341510.0,0.0,39964.0,2141.0,17.0,1.388386,16.38288,55.44575,100.4076,92.01785,99.75563,100.3029
05-04-2026-00-00-04,62.2,30.0,1538778.0,615511.0,347333.0,0.0,41251.0,2202.0,16.0,1.408145,16.61603,56.34501,102.6734,94.09467,102.0531,102.5687
05-04-2026-00-00-05,62.2,30.0,1578049.0,631219.0,352818.0,0.0,42241.0,2247.0,16.0,1.444081,17.04008,57.39638,104.8095,96.05212,104.1737,104.6958
05-04-2026-00-00-06,62.2,30.0,1605590.0,642236.0,354675.0,0.0,42373.0,2228.0,17.0,1.469284,17.33747,57.90618,105.3795,96.68275,104.7372,105.2659
05-04-2026-00-00-07,62.2,30.0,1616063.0,646425.0,353506.0,0.0,42076.0,2211.0,16.0,1.478869,17.45057,57.88561,104.9821,96.38982,104.3814,104.8774
05-04-2026-00-00-08,62.2,30.0,1621678.0,648671.0,352276.0,0.0,41777.0,2257.0,15.0,1.484007,17.51119,57.80557,104.7977,96.03671,104.1936,104.6841
05-04-2026-00-00-09,62.2,30.0,1621332.0,648533.0,351061.0,0.0,41411.0,2275.0,16.0,1.48369,17.50746,57.66277,104.3991,95.55836,103.7819,104.2855
05-04-2026-00-00-10,62.2,30.0,1620865.0,648346.0,349824.0,0.0,41068.0,2307.0,16.0,1.483263,17.50241,57.51628,104.0657,95.09872,103.4376,103.9521
05-04-2026-00-00-11,,,1620224.0,648089.0,348584.0,0.0,40742.0,2346.0,16.0,1.482676,17.49549,57.36748,103.7509,94.65154,103.1304,103.6373
05-04-2026-00-00-12,62.2,30.0,1619473.0,647789.0,347410.0,0.0,40453.0,2393.0,16.0,1.481989,17.48738,57.22512,103.5119,94.24458,102.8935,103.3982
05-04-2026-00-00-13,62.2,30.0,1618835.0,647534.0,346738.0,0.0,40462.0,2470.0,30.0,1.481405,17.48049,57.14137,104.1608,94.16887,103.0958,104.0385
05-04-2026-00-00-14,62.2,30.0,1618808.0,647523.0,346249.0,0.0,40617.0,2560.0,80.0,1.481381,17.48021,57.0851,106.1218,94.25441,103.5065,105.9819
05-04-2026-00-00-15,62.2,30.0,1618863.0,647545.0,345772.0,0.0,40788.0,2622.0,62.0,1.48143,17.48079,57.03115,105.9078,94.35681,103.8333,105.7679
05-04-2026-00-00-16,62.2,30.0,1618958.0,647583.0,345312.0,0.0,40953.0,2626.0,32.0,1.481517,17.48182,56.97955,105.096,94.45612,103.9492,104.9651
05-04-2026-00-00-17,62.2,30.0,1619019.0,647607.0,344846.0,0.0,41103.0,2631.0,28.0,1.481573,17.48248,56.92697,105.0737,94.54063,104.0502,104.9427
05-04-2026-00-00-18,62.2,30.0,1619106.0,647642.0,344375.0,0.0,41246.0,2632.0,26.0,1.481653,17.48343,56.87401,105.0792,94.61881,104.1333,104.9482
05-04-2026-00-00-19,62.2,30.0,1619287.0,647714.0,343896.0,0.0,40994.0,2630.0,23.0,1.481819,17.48537,56.82117,104.705,94.33569,103.8399,104.574
05-04-2026-00-00-20,62.2,30.0,1619469.0,647787.0,343426.0,0.0,40498.0,2626.0,21.0,1.481985,17.48734,56.76941,104.1154,93.82938,103.3224,103.9844
05-04-2026-00-00-21,62.2,30.0,1619942.0,647976.0,343244.0,0.0,40084.0,2663.0,21.0,1.482418,17.49245,56.75368,103.8574,93.43562,103.0601,103.7264
05-04-2026-00-00-22,62.2,30.0,1619930.0,647972.0,343155.0,0.0,39654.0,2701.0,22.0,1.482407,17.49232,56.74337,103.6289,93.03101,102.7945,103.498
05-04-2026-00-00-23,62.2,30.0,1619739.0,647895.0,343027.0,0.0,39288.0,2742.0,22.0,1.482232,17.49026,56.72672,103.4404,92.67944,102.5916,103.3005
05-04-2026-00-00-24,62.2,30.0,1618515.0,647406.0,342674.0,0.0,38908.0,2774.0,22.0,1.481112,17.47704,56.67308,103.1374,92.278,102.3038,102.9975
05-04-2026-00-00-25,62.2,30.0,1614647.0,645858.0,341825.0,0.0,38464.0,2801.0,21.0,1.477572,17.43527,56.53418,102.6686,91.7333,101.8569,102.5287
05-04-2026-00-00-26,62.2,30.0,1610497.0,644199.0,340950.0,0.0,38052.0,2838.0,22.0,1.473775,17.39046,56.38935,102.289,91.21146,101.4675,102.1492
05-04-2026-00-00-27,62.2,30.0,1606191.0,642476.0,340076.0,0.0,38075.0,2883.0,23.0,1.469835,17.34396,56.24287,102.358,91.08616,101.5048,102.2181
05-04-2026-00-00-28,62.2,30.0,1610126.0,644050.0,340864.0,0.0,38672.0,2974.0,24.0,1.473435,17.38645,56.37543,103.4128,91.76506,102.5127,103.2643
05-04-2026-00-00-29,62.2,30.0,1624937.0,649975.0,343644.0,0.0,39503.0,3038.0,25.0,1.486989,17.54639,56.85342,104.9173,93.00343,103.9833,104.7688
05-04-2026-00-00-30,62.2,30.0,1640002.0,656000.0,346467.0,0.0,40278.0,3073.0,24.0,1.500775,17.70906,57.33896,106.2212,94.19812,105.3047,106.0727
05-04-2026-00-00-31,62.2,30.0,1655126.0,662050.0,349322.0,0.0,40979.0,3096.0,23.0,1.514615,17.87237,57.8288,107.4043,95.32929,106.5185,107.2471
05-04-2026-00-00-32,62.2,30.0,1682502.0,673000.0,354409.0,0.0,42064.0,3173.0,23.0,1.539667,18.16798,58.70631,109.5629,97.20005,108.6683,109.4057
05-04-2026-00-00-33,62.2,30.0,1742958.0,697183.0,365342.0,0.0,44178.0,3362.0,26.0,1.59499,18.82079,60.6097,114.1643,101.0376,113.19,113.9984
