datetime,humidity,temperature,PC0_1,PC0_3,PC0_5,PC10,PC1_0,PC2_5,PC5_0,PM0_1,PM0_3,PM0_5,PM10,PM1_0,PM2_5,PM5_0
05-04-2026-00-00-00,63.7,29.5,1325106.0,456688.0,325554.0,0.0,20495.0,925.0,28.0,1.107206,11.4101,45.41105,77.66959,62.5362,74.62819,77.64034
05-04-2026-00-00-01,63.7,29.5,1330069.0,459146.0,322074.0,0.0,20214.0,945.0,25.0,1.111353,11.46971,45.10715,77.02724,61.99757,74.34322,77.02724
05-04-2026-00-00-02,63.7,29.5,1344892.0,468115.0,327257.0,0.0,21048.0,966.0,19.0,1.123739,11.68441,45.86322,78.12549,63.45055,76.0757,78.12549
05-04-2026-00-00-03,63.5,29.5,1350986.0,470915.0,323777.0,0.0,20784.0,906.0,11.0,1.12883,11.75268,45.56806,76.0024,62.93455,74.77841,76.0024
05-04-2026-00-00-04,63.5,29.5,1338503.0,460822.0,318633.0,0.0,20336.0,835.0,10.0,1.1184,11.51455,44.79268,73.7927,61.78511,72.6941,73.7927
05-04-2026-00-00-05,63.7,29.5,1326596.0,451269.0,314285.0,0.0,20059.0,773.0,10.0,1.108451,11.28909,44.11306,72.09566,60.87397,70.97492,72.09566
05-04-2026-00-00-06,63.7,29.5,1314624.0,444923.0,310520.0,0.0,20011.0,779.0,13.0,1.098447,11.13591,43.56665,71.90694,60.28787,70.46538,71.90694
05-04-2026-00-00-07,63.6,29.5,1302784.0,441054.0,307476.0,0.0,20566.0,896.0,21.0,1.088555,11.03873,43.15162,74.32104,60.33576,72.05003,74.32104
05-04-2026-00-00-08,63.6,29.5,1295117.0,438956.0,307146.0,0.0,21552.0,998.0,28.0,1.082148,10.985,43.06342,77.04337,61.0717,74.1161,77.04337
05-04-2026-00-00-09,63.7,29.5,1282673.0,434290.0,304162.0,0.0,22067.0,1050.0,30.0,1.071751,10.86934,42.63604,78.01448,61.07445,74.78852,78.01448
05-04-2026-00-00-10,63.7,29.5,1259399.0,422921.0,293132.0,0.0,21196.0,1018.0,28.0,1.052304,10.59341,41.20815,75.25218,58.91941,72.22532,75.25218
05-04-2026-00-00-11,63.6,29.5,1241755.0,413954.0,297859.0,0.0,21885.0,1043.0,28.0,1.037562,10.37638,41.4848,76.38515,59.77107,73.3989,76.38515
05-04-2026-00-00-12,63.6,29.5,1230602.0,408332.0,317566.0,0.0,24492.0,1103.0,26.0,1.028242,10.24023,43.4069,81.05814,63.87148,78.28935,81.05814
05-04-2026-00-00-13,63.6,29.5,1217762.0,402211.0,331221.0,0.0,25896.0,1087.0,18.0,1.017514,10.0914,44.68419,82.42107,66.32216,80.52235,82.42107
05-04-2026-00-00-14,63.6,29.5,1203593.0,395905.0,332156.0,0.0,25259.0,1011.0,11.0,1.005675,9.9373,44.62773,80.12403,65.73339,78.94797,80.12403
05-04-2026-00-00-15,63.6,29.5,1192009.0,390035.0,332063.0,0.0,24218.0,884.0,8.0,0.995996,9.795208,44.47594,77.11706,64.71217,76.26547,77.11706
05-04-2026-00-00-16,63.6,29.5,1181206.0,384645.0,332969.0,0.0,23334.0,852.0,9.0,0.986969,9.66456,44.43985,76.10805,63.93753,75.06467,76.10805
05-04-2026-00-00-17,63.5,29.5,1176947.0,383154.0,337564.0,0.0,23120.0,850.0,10.0,0.98341,9.627384,44.88262,76.38658,64.20142,75.31011,76.38658
05-04-2026-00-00-18,63.5,29.5,1183525.0,388385.0,349738.0,0.0,24145.0,925.0,9.0,0.988906,9.750885,46.27753,79.52579,66.4527,78.54517,79.52579
05-04-2026-00-00-19,63.6,29.5,1186541.0,391987.0,345828.0,0.0,23507.0,939.0,9.0,0.991426,9.83466,45.95295,78.90667,65.59518,77.86705,78.90667
05-04-2026-00-00-20,63.6,29.5,1186612.0,394179.0,326911.0,0.0,20815.0,918.0,13.0,0.991486,9.88417,44.02682,74.81177,61.41934,73.41448,74.81177
05-04-2026-00-00-21,63.6,29.5,1188620.0,397034.0,313849.0,0.0,19168.0,971.0,16.0,0.993163,9.950252,42.72873,73.11845,58.74522,71.42988,73.11845
05-04-2026-00-00-22,63.6,29.5,1193563.0,400369.0,313110.0,0.0,19405.0,1029.0,15.0,0.997294,10.02962,42.73087,74.01034,58.94532,72.39558,74.01034
05-04-2026-00-00-23,63.6,29.5,1198399.0,403554.0,313168.0,0.0,19717.0,1041.0,14.0,1.001335,10.10552,42.81287,74.41833,59.28823,72.89576,74.41833
05-04-2026-00-00-24,63.6,29.5,1203264.0,406197.0,312345.0,0.0,20015.0,962.0,13.0,1.0054,10.16923,42.79062,73.53854,59.51479,72.07861,73.53854
05-04-2026-00-00-25,63.6,29.5,1207653.0,407840.0,310910.0,0.0,20280.0,892.0,13.0,1.009067,10.20995,42.68145,72.68011,59.62717,71.27917,72.68011
05-04-2026-00-00-26,63.6,29.5,1213978.0,410918.0,309845.0,0.0,20694.0,808.0,10.0,1.014352,10.28467,42.64491,71.55303,59.936,70.49493,71.55303
05-04-2026-00-00-27,63.6,29.5,1220766.0,417988.0,308746.0,0.0,21135.0,719.0,7.0,1.020024,10.44984,42.69527,70.49413,60.35557,69.75686,70.49413
05-04-2026-00-00-28,63.6,29.5,1229353.0,425678.0,307335.0,0.0,21638.0,607.0,4.0,1.027199,10.63051,42.72858,69.24999,60.80848,68.74866,69.24999
05-04-2026-00-00-29,63.6,29.5,1237283.0,432551.0,305925.0,0.0,22144.0,503.0,3.0,1.033825,10.79219,42.743,68.15365,61.24598,67.81821,68.15365
05-04-2026-00-00-30,63.6,29.5,1243348.0,438610.0,304115.0,0.0,22605.0,414.0,2.0,1.038892,10.93395,42.69583,67.21687,61.58438,66.99575,67.21687
05-04-2026-00-00-31,63.5,29.5,1248029.0,444042.0,301103.0,0.0,22886.0,339.0,1.0,1.042803,11.06041,42.50769,66.20602,61.63097,66.06227,66.20602
05-04-2026-00-00-32,63.5,29.5,1253100.0,450592.0,297664.0,0.0,22820.0,277.0,0.0,1.047041,11.2124,42.30048,65.08437,61.36849,64.98853,65.08437
05-04-2026-00-00-33,63.7,29.5,1257378.0,457105.0,294164.0,0.0,22500.0,239.0,0.0,1.050615,11.36291,42.08546,64.09098,60.8862,64.00996,64.09098
05-04-2026-00-00-34,63.7,29.5,1258958.0,461365.0,290741.0,0.0,22316.0,280.0,3.0,1.051935,11.46035,41.82536,64.53443,60.47201,64.12894,64.53443
05-04-2026-00-00-35,63.7,29.5,1258351.0,460445.0,287662.0,0.0,22045.0,325.0,6.0,1.051428,11.43909,41.4826,64.85059,59.9029,64.15018,64.85059
